trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-132.16349306528755,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-157.40652026372646,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,12.220510531549598,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,4,-28.860617026014335,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-145.62325024157118,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-97.27007855286921,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-164.08279843789256,"{0: 23, 1: 6, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,8,-8.055202070420101,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,6,-87.76705422713744,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,4,-36.508943634556964,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,7.269678561448282,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,20,11.07781565215824,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,10,16.68217302966834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-86.93647185842478,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,9,5.406576541853159,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,8,10.496227175246329,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-48.03572598046568,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,-18.618203029611646,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,9,-13.2563733928065,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,12.856606355816893,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-10.752582686861098,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,14,9.67115571648701,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,23.234787623480436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,18.169227643663532,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,5,22.363162627101698,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,21.232039384925727,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,15,18.563359325151254,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,4,23.40453901171307,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,1,29.80004695747239,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,11.785089071197989,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
