trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.55, 'e': 1.0}",20,0,-162.84009024059048,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.55, 'e': 1.0}",20,0,-83.54554074416802,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.55, 'e': 1.0}",25,0,-152.3624774288914,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.55, 'e': 1.0}",20,0,-128.8810338421544,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.55, 'e': 1.0}",30,0,-123.8615241810613,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.55, 'e': 1.0}",20,0,-103.02707953742414,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.55, 'e': 1.0}",25,8,-70.99875120389147,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 0}",1
8,False,"{'a': 0.55, 'e': 1.0}",20,0,-54.10161461191246,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.55, 'e': 1.0}",30,0,-140.3651065074634,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.55, 'e': 1.0}",20,0,-97.16376637665917,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.55, 'e': 1.0}",20,0,-106.80325067596024,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.55, 'e': 1.0}",30,0,-180.31077414995374,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
13,False,"{'a': 0.55, 'e': 1.0}",20,0,-81.10902260286966,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
14,False,"{'a': 0.55, 'e': 1.0}",20,0,-124.64183110810822,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",1
15,False,"{'a': 0.55, 'e': 1.0}",35,0,-152.8246695826931,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
16,False,"{'a': 0.55, 'e': 1.0}",30,0,-84.2039250116103,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
17,False,"{'a': 0.55, 'e': 1.0}",20,0,-97.91601705511091,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.55, 'e': 1.0}",25,0,-107.05330765396234,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.55, 'e': 1.0}",20,0,-162.45430008451964,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.55, 'e': 1.0}",20,0,-137.04449150735647,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.55, 'e': 1.0}",20,0,-144.623201195728,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.55, 'e': 1.0}",20,0,-102.26329159820789,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
23,False,"{'a': 0.55, 'e': 1.0}",20,0,-104.69439731492083,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
24,False,"{'a': 0.55, 'e': 1.0}",25,9,-18.099641507583396,"{0: 10, 1: 6, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.55, 'e': 1.0}",25,0,-98.60300643388385,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.55, 'e': 1.0}",30,0,-147.31298302088447,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
27,False,"{'a': 0.55, 'e': 1.0}",25,0,-181.2319060860265,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
28,False,"{'a': 0.55, 'e': 1.0}",20,0,-116.8861009895653,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
29,False,"{'a': 0.55, 'e': 1.0}",30,0,-86.01841667065406,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.55, 'e': 1.0}",25,0,-101.60666619463785,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
31,False,"{'a': 0.55, 'e': 1.0}",25,0,-159.05586166995334,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
32,False,"{'a': 0.55, 'e': 1.0}",20,0,-119.17297916506757,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.55, 'e': 1.0}",25,0,-235.95610162458658,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 4}",1
34,False,"{'a': 0.55, 'e': 1.0}",20,0,-46.763170989674464,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.55, 'e': 1.0}",20,0,-63.90379403316949,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
