trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-231.38588542456225,"{0: 19, 1: 5, 2: 5, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.2382749615792,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.09557973402173,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.22258919385656,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.21853606167934,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.98508336804034,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.939582737765846,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-179.2074398071286,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,8,-89.64701543273341,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.46949207945269,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-110.47006576227452,"{0: 26, 1: 2, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.58077163000425,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.90186648701044,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.57480294165072,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.67120357358635,"{0: 12, 1: 1, 2: 7, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.09449449812484,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.59109659141629,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.647291952156934,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.86844392975227,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.44524074456027,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-237.23292081674813,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-168.67859992085138,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.53589784343202,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-199.89020147849348,"{0: 16, 1: 0, 2: 10, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-24.12612407965035,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-447.51474651359683,"{0: 12, 1: 4, 2: 8, 3: 4, 4: 7}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-150.64526715656962,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.91800677611468,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-78.44917155078831,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-99.54619044051155,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
